Subject,Topic,Question,Answer
SPRING ECOSYSTEM,Spring Core & DI,**Explain Spring IoC container lifecycle. Bean creation flow end-to-end?**,
SPRING ECOSYSTEM,Spring Core & DI,**Singleton vs Prototype vs Request vs Session scope. Production implications?**,
SPRING ECOSYSTEM,Spring Core & DI,**@Autowired vs @Inject vs constructor injection. Which & why?**,
SPRING ECOSYSTEM,Spring Core & DI,**Circular dependency in beans. What happens? How to fix?**,
SPRING ECOSYSTEM,Spring Core & DI,**@Lazy annotation. When use? Performance implications?**,
SPRING ECOSYSTEM,Spring Core & DI,**BeanPostProcessor & BeanFactoryPostProcessor. Real-world use cases?**,
SPRING ECOSYSTEM,Spring Core & DI,**ApplicationContext vs BeanFactory. When each?**,
SPRING ECOSYSTEM,Spring Core & DI,**@Configuration vs @Component. Difference in bean creation?**,
SPRING ECOSYSTEM,Spring Core & DI,**Bean initialization: @PostConstruct vs InitializingBean vs init-method. Which preferred?**,
SPRING ECOSYSTEM,Spring Core & DI,**Bean destruction: @PreDestroy vs DisposableBean vs destroy-method. Cleanup order?**,
SPRING ECOSYSTEM,Spring MVC & Web,**Explain DispatcherServlet request flow end-to-end.**,
SPRING ECOSYSTEM,Spring MVC & Web,**HandlerMapping vs HandlerAdapter. Roles?**,
SPRING ECOSYSTEM,Spring MVC & Web,**@RequestMapping vs @GetMapping vs @PostMapping. Differences?**,
SPRING ECOSYSTEM,Spring MVC & Web,**@RequestParam vs @PathVariable vs @RequestBody. When each?**,
SPRING ECOSYSTEM,Spring MVC & Web,**@ControllerAdvice vs @RestControllerAdvice. Exception handling difference?**,
SPRING ECOSYSTEM,Spring MVC & Web,**@ExceptionHandler vs global error handling. Order of execution?**,
SPRING ECOSYSTEM,Spring MVC & Web,**Interceptor vs Filter. Difference? Which for authentication?**,
SPRING ECOSYSTEM,Spring MVC & Web,**CORS configuration. How does preflight work? Spring setup?**,
SPRING ECOSYSTEM,Spring MVC & Web,**Content negotiation in Spring. How does it work?**,
SPRING ECOSYSTEM,Spring MVC & Web,**View Resolution. What happens behind ViewResolver?**,
SPRING ECOSYSTEM,JPA & Hibernate,**Entity lifecycle: New → Managed → Detached → Removed. State transitions?**,
SPRING ECOSYSTEM,JPA & Hibernate,**@Transactional propagation: REQUIRED vs REQUIRES_NEW vs NESTED. Implications?**,
SPRING ECOSYSTEM,JPA & Hibernate,**Lazy loading vs Eager loading. N+1 query problem? How to fix?**,
SPRING ECOSYSTEM,JPA & Hibernate,**@OneToMany vs @ManyToOne vs @ManyToMany. Cascade types when?**,
