Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,Duplicate,LessImportant,Starred,Order,SubjectOrder,TopicOrder,SubTopicOrder,SrsDue,SrsStreak
High Yield,OOP,General,What is OOP and why it matters,,false,true,false,false,false,0,0,0,0,2026-08-18,0
High Yield,OOP,General,Characteristics of an OOP,,false,true,false,false,false,0,0,0,0,2026-08-18,0
High Yield,OOP,4 Pillars of OOP,Explain with examples,,true,false,false,false,false,0,0,0,1,2026-08-18,1
High Yield,OOP,Encapsulation,Definition,,true,false,false,false,false,0,0,0,2,2026-08-18,1
High Yield,OOP,Encapsulation,How is it achieved,,true,false,false,false,false,0,0,0,2,2026-08-18,1
High Yield,OOP,Encapsulation,What are all the benefits,,false,true,false,false,false,0,0,0,2,2026-08-18,0
High Yield,OOP,Encapsulation,Explain State Control by encapsulation using one example,,true,false,false,false,false,0,0,0,2,2026-08-18,1
High Yield,OOP,Encapsulation,Access modifiers,,true,false,false,false,false,0,0,0,2,2026-08-18,1
High Yield,OOP,Abstraction,Definition,,true,false,false,false,false,0,0,0,3,2026-08-18,1
High Yield,OOP,Abstraction,How is it achieved,,true,false,false,false,false,0,0,0,3,2026-08-18,1
High Yield,OOP,Abstraction,Abstract class vs methods,,true,false,false,false,false,0,0,0,3,2026-08-18,1
High Yield,OOP,Abstraction,Interface vs Abstract class,,false,true,false,false,false,0,0,0,3,2026-08-18,0
High Yield,OOP,Abstraction,Method in interface vs Abstract,,false,false,false,false,false,0,0,0,3,,0
High Yield,OOP,Abstraction,How will you choose Interface or Abstract class,,true,false,false,false,false,0,0,0,3,2026-08-18,1
High Yield,OOP,Abstraction,When do you layer an interface on top of the abstract class,• Validation using Template Method Pattern,false,true,false,false,false,0,0,0,3,2026-08-18,0
High Yield,OOP,Abstraction,default & static methods in java 8,,true,false,false,false,false,0,0,0,3,2026-08-18,1
High Yield,OOP,Abstraction,"static, final and private methods",,false,true,false,false,false,0,0,0,3,2026-08-18,0
High Yield,OOP,Abstraction,Explain how abstraction promotes loose coupling and reducing tight coupling,,false,true,false,false,false,0,0,0,3,2026-08-18,0
High Yield,OOP,Abstraction,Explain loose coupling with dependency injection using payment processor and notification system,,true,false,false,false,false,0,0,0,3,2026-08-18,1
High Yield,OOP,Inheritance,Definition,,true,false,false,false,false,0,0,0,4,2026-08-18,1
High Yield,OOP,Inheritance,Parent child analogy,,true,false,false,false,false,0,0,0,4,2026-08-18,1
High Yield,OOP,Inheritance,What relationship does inheritance form,,true,false,false,false,false,0,0,0,4,2026-08-18,1
High Yield,OOP,Inheritance,Why do we need Inheritance & One Major Drawback,,true,false,false,false,false,0,0,0,4,2026-08-18,1
High Yield,OOP,Inheritance,Types,,false,true,false,false,false,0,0,0,4,2026-08-18,0
High Yield,OOP,Inheritance,Diamond problem,,true,false,false,false,false,0,0,0,4,2026-08-18,1
High Yield,OOP,Inheritance,How multiple inheritance resolved in java,• Explain,true,false,false,false,false,0,0,0,4,2026-08-18,1
High Yield,OOP,Inheritance,Two interfaces have the same default method. How do you resolve it?,,true,false,false,false,false,0,0,0,4,2026-08-18,1
High Yield,OOP,Inheritance,What is another way of using inheritance is called?,,true,false,false,false,false,0,0,0,4,2026-08-18,1
High Yield,OOP,Inheritance,Another way of using inheritance based on what condition? What relationship does it form?,,false,true,false,false,false,0,0,0,4,2026-08-18,0
High Yield,OOP,Polymorphism,Definition,• same interface but different implementation,true,false,false,false,false,0,0,0,5,2026-08-18,1
High Yield,OOP,Polymorphism,Static — Compile-time — method overloading vs Dynamic — Runtime — overriding,,true,false,false,false,false,0,0,0,5,2026-08-18,1
High Yield,OOP,Polymorphism,overloading vs overriding,,true,false,false,false,false,0,0,0,5,2026-08-18,1
High Yield,OOP,Polymorphism,What are the rules for method overriding?,"• Same Method Signature • Inheritance Required • Compatible Return Type (same or covariant) • Equal or Broadened Access • Non-Overridable Methods ( private, static, or final )",true,false,false,false,false,0,0,0,5,2026-08-18,1
High Yield,OOP,Polymorphism,What are the rules regarding checked and unchecked exceptions in method overriding?,• Checked Exceptions ◦ Cannot declare broader or new checked exceptions ◦ Can declare narrower checked exceptions ◦ Can declare fewer or no checked exceptions ◦ Parent declares no checked exceptions • Unchecked Exceptions ◦ No restrictions ◦ Flexibility,false,true,false,false,false,0,0,0,5,2026-08-18,0
