Subject,Topic,Question,Answer
RABBITMQ,RabbitMQ Fundamentals & Architecture,"- **RabbitMQ architecture. Exchanges, queues, bindings, connections, channels?**",
RABBITMQ,RabbitMQ Fundamentals & Architecture,- **Message broker role. Decoupling producers from consumers?**,
RABBITMQ,RabbitMQ Fundamentals & Architecture,- **AMQP protocol. RabbitMQ AMQP 0-9-1 implementation?**,
RABBITMQ,RabbitMQ Fundamentals & Architecture,- **Connections vs Channels. Resource multiplexing?**,
RABBITMQ,RabbitMQ Fundamentals & Architecture,"- **Virtual hosts. Logical isolation, multi-tenancy?**",
RABBITMQ,RabbitMQ Fundamentals & Architecture,- **Vhost permission model. User access control?**,
RABBITMQ,Exchanges & Routing,"- **Exchange types: Direct, Fanout, Topic, Headers. Routing logic?**",
RABBITMQ,Exchanges & Routing,- **Direct exchange. Exact key matching?**,
RABBITMQ,Exchanges & Routing,- **Fanout exchange. Broadcasting to all bound queues?**,
RABBITMQ,Exchanges & Routing,- **Topic exchange. Pattern-based routing with wildcards (* and #)?**,
RABBITMQ,Exchanges & Routing,- **Headers exchange. Routing on message headers?**,
RABBITMQ,Exchanges & Routing,- **Exchange-to-exchange binding. Nested routing?**,
RABBITMQ,Exchanges & Routing,- **Durable vs non-durable exchange. Persistence?**,
RABBITMQ,Exchanges & Routing,- **Binding key vs routing key. Matching mechanism?**,
RABBITMQ,Exchanges & Routing,- **Binding arguments. Additional routing criteria?**,
RABBITMQ,Queues & Messages,- **Queue. Message storage and ordering?**,
RABBITMQ,Queues & Messages,- **FIFO ordering. Message ordering guarantee?**,
RABBITMQ,Queues & Messages,"- **Queue declaration. Durable queues, arguments?**",
RABBITMQ,Queues & Messages,- **Queue TTL. Expiry of unused queues?**,
RABBITMQ,Queues & Messages,- **Message TTL. Expiry of messages in queue?**,
RABBITMQ,Queues & Messages,"- **Max length. Queue size limits, overflow policies?**",
RABBITMQ,Queues & Messages,- **Dead letter exchange (DLX). Handling rejected messages?**,
RABBITMQ,Queues & Messages,- **Dead letter routing key. DLQ message routing?**,
RABBITMQ,Queues & Messages,- **Priority queues. Message priority ordering?**,
RABBITMQ,Queues & Messages,- **Lazy queues. Memory vs disk trade-off?**,
RABBITMQ,Queues & Messages,"- **Master location. Queue affinity, node persistence?**",
