Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,Duplicate,LessImportant,Starred,Order,SubjectOrder,TopicOrder,SubTopicOrder,SrsDue,SrsStreak
Introduction,General,Previous Question Bank,Tell me about yourself,"<ul><li>I'm Sathish, Angular Java Full Stack Developer with 11 years of experience in building enterprise-grade applications</li><li>I've Completed my B.E CSE</li><li>Currently working as a Technical Lead at HCL for a US-based healthcare client.</li><li>Also, worked in different business domains like ERP, E-Commerce & Manufactoring</li><li>My core technical expertise are Java 21, Spring Boot, Angular, Kafka, and Elasticsearch</li><li>I also have hands-on experience in React, GraphQL, RabbitMQ, and Redis</li><li>My current role is to bridging the gap between business goals and technical execution. <ul><li>I collaborate closely with Product Owners to refine requirements</li><li>Partner with architects to ensure our systems are secure, reliable, and scalable</li><li>and team up with DevOps engineers to streamline CI/CD pipelines.</li></ul></li><li>I am well-versed in Scaled Agile environments, I have been part of full agile lifecycle from PI Planning to daily scrum execution &amp; release management.</li><li>Recently, I’m exploring Agentic AI tools like Claude Code and GitLab Duo that increased productivity in development and organizational workflows</li></ul>",true,false,false,false,true,0,0,0,0,2026-08-14,1
Introduction,General,Previous Question Bank,Explain your current project,"The project is a web portal for digital aircraft maintenance manual Like we versioning different editions of books this web portal is used to customize manual to aircraft customer based on their flight configuration It is a cloud based spring boot microservice application which also support offline mode for tab users We used Modularized Angular application as a frontend customized Authentication & Authorization service using authentication token elasticsearch for index, search & filtering documents RabbitMQ for event based communication Camunda for Workflow based approval and publish of documents I worked on customizing elastic search for offline application using angular & elasticsearch js plugin UI & Backend related tasks for filtering documents based on tags usings facets similar to ecommerce websites like Amazon Version controlling documents similar to Git branches using rabbitmq & camunda HOTFIX",false,false,false,false,false,13,0,0,0,,0
Introduction,General,Previous Question Bank,Agile process - how feature is travelled,<ul><li>PI</li><li>3 sprints <ul><li>1 Innovation &amp; Planning(IP) sprint</li></ul></li><li>Feature</li><li>User Story</li><li>Task</li><li>Sub-task</li><li>Issue / Block</li><li>Bug</li><li>Change Request</li></ul>,false,false,false,false,false,7,0,0,0,,0
Introduction,General,Previous Question Bank,How will you secure your endpoint,"<ul><li><p>I secure endpoints using a layered <strong>defense-in-depth architecture</strong>:</p><ul><li><p><strong>Edge &amp; Gateway:</strong> Cloudflare/API Gateway for DDoS mitigation and dynamic rate limiting.</p></li><li><p><strong>Authentication &amp; OAuth2:</strong> Spring Security enforcing JWT validation with OAuth2 Authorization Code Flow + PKCE for SPAs (protecting Client IDs without embedding secrets).</p></li><li><p><strong>Authorization:</strong> Fine-grained backend RBAC/ABAC enforced via Spring filters and <code>@PreAuthorize</code> annotations.</p></li><li><p><strong>CSRF &amp; Token Security:</strong> Secure <code>HttpOnly</code>, <code>SameSite=Strict</code> cookies combined with the Double-Submit Cookie pattern for CSRF mitigation.</p></li><li><p><strong>Frontend:</strong> Angular route guards for UX and OWASP-aligned input sanitization to prevent XSS</p></li></ul></li></ul>",false,false,false,false,false,19,0,0,0,,0
Introduction,General,Previous Question Bank,OSI layers,,false,false,false,false,false,12,0,0,0,,0
Introduction,General,Previous Question Bank,SOLID & GoF Design Patterns in Java,,false,false,false,false,false,18,0,0,0,,0
Introduction,General,Previous Question Bank,How to implement singleton or prototype design pattern,,false,false,false,false,false,17,0,0,0,,0
Introduction,General,Previous Question Bank,What is factory design pattern,,false,false,false,false,false,16,0,0,0,,0
Introduction,General,Previous Question Bank,What is the use of cors & htaccess,"<ul><li>In a full-stack architecture, <strong>CORS</strong> is a browser-security contract configured in Spring Boot to safely allow the Angular frontend to access the API, while <strong>.htaccess</strong> is an Apache server configuration used to redirect all frontend traffic to <code>index.html</code> to prevent 404 errors during client-side Angular routing</li></ul>",false,false,false,false,false,11,0,0,0,,0
Introduction,General,Previous Question Bank,gzip,"<ul><li>Gzip is a <span><strong>data compression algorithm</strong></span> used to shrink HTTP payload sizes&mdash;such as JSON, HTML, and JavaScript&mdash;significantly reducing network latency and improving page load times for full-stack applications</li></ul>",false,false,false,false,false,10,0,0,0,,0
OOPS,Core Concepts,Previous Question Bank,What is Inheritance & What Relationship it is?,"<ul><li>Inheritance means, Deriving a class from existing base class</li><li>Derived class reuses properties and methods of an existing class</li><li><strong>""is-a"" relationship</strong> (like a Dog ""is-a"" Animal)</li></ul>",false,false,false,false,false,6,1,0,0,,0
