Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,Duplicate,LessImportant,Starred,Order,SubjectOrder,TopicOrder,SubTopicOrder,SrsDue,SrsStreak
High Yield,OOP,General,What is OOP and why it matters,,,,,,,,,,,,
High Yield,OOP,General,Characteristics of an OOP,,,,,,,,,,,,
High Yield,OOP,4 Pillars of OOP,Explain with examples,,,,,,,,,,,,
High Yield,OOP,Encapsulation,Definition,,,,,,,,,,,,
High Yield,OOP,Encapsulation,How is it achieved,,,,,,,,,,,,
High Yield,OOP,Encapsulation,What are all the benefits,,,,,,,,,,,,
High Yield,OOP,Encapsulation,Explain State Control by encapsulation using one example,,,,,,,,,,,,
High Yield,OOP,Encapsulation,Access modifiers,,,,,,,,,,,,
High Yield,OOP,Abstraction,Definition,,,,,,,,,,,,
High Yield,OOP,Abstraction,How is it achieved,,,,,,,,,,,,
High Yield,OOP,Abstraction,Abstract class vs methods,,,,,,,,,,,,
High Yield,OOP,Abstraction,Interface vs Abstract class,,,,,,,,,,,,
High Yield,OOP,Abstraction,Method in interface vs Abstract,,,,,,,,,,,,
High Yield,OOP,Abstraction,How will you choose Interface or Abstract class,,,,,,,,,,,,
High Yield,OOP,Abstraction,When do you layer an interface on top of the abstract class,• Validation using Template Method Pattern,,,,,,,,,,,
High Yield,OOP,Abstraction,default & static methods in java 8,,,,,,,,,,,,
High Yield,OOP,Abstraction,"static, final and private methods",,,,,,,,,,,,
High Yield,OOP,Abstraction,Explain how abstraction promotes loose coupling and reducing tight coupling,,,,,,,,,,,,
High Yield,OOP,Abstraction,Explain loose coupling with dependency injection using payment processor and notification system,,,,,,,,,,,,
High Yield,OOP,Inheritance,Definition,,,,,,,,,,,,
High Yield,OOP,Inheritance,Parent child analogy,,,,,,,,,,,,
High Yield,OOP,Inheritance,What relationship does inheritance form,,,,,,,,,,,,
High Yield,OOP,Inheritance,Why do we need Inheritance & One Major Drawback,,,,,,,,,,,,
High Yield,OOP,Inheritance,Types,,,,,,,,,,,,
High Yield,OOP,Inheritance,Diamond problem,,,,,,,,,,,,
High Yield,OOP,Inheritance,How multiple inheritance resolved in java,• Explain,,,,,,,,,,,
High Yield,OOP,Inheritance,Two interfaces have the same default method. How do you resolve it?,,,,,,,,,,,,
High Yield,OOP,Inheritance,What is another way of using inheritance is called?,,,,,,,,,,,,
High Yield,OOP,Inheritance,Another way of using inheritance based on what condition? What relationship does it form?,,,,,,,,,,,,
High Yield,OOP,Polymorphism,Definition,• same interface but different implementation,,,,,,,,,,,
High Yield,OOP,Polymorphism,Static — Compile-time — method overloading vs Dynamic — Runtime — overriding,,,,,,,,,,,,
High Yield,OOP,Polymorphism,overloading vs overriding,,,,,,,,,,,,
High Yield,OOP,Polymorphism,What are the rules for method overriding?,"• Same Method Signature
• Inheritance Required
• Compatible Return Type (same or covariant)
• Equal or Broadened Access
• Non-Overridable Methods ( private, static, or final )",,,,,,,,,,,
High Yield,OOP,Polymorphism,What are the rules regarding checked and unchecked exceptions in method overriding?,"• Checked Exceptions
  ◦ Cannot declare broader or new checked exceptions
  ◦ Can declare narrower checked exceptions
  ◦ Can declare fewer or no checked exceptions
  ◦ Parent declares no checked exceptions
• Unchecked Exceptions
  ◦ No restrictions
  ◦ Flexibility",,,,,,,,,,,
High Yield,OOP,Polymorphism,when is method overriding vs method hiding applicable,,,,,,,,,,,,
High Yield,OOP,Association,Definition,,,,,,,,,,,,
High Yield,OOP,Aggregation,Definition,,,,,,,,,,,,
High Yield,OOP,Composition,Definition,,,,,,,,,,,,
High Yield,OOP,Composition,What relationship does Composition form,,,,,,,,,,,,
High Yield,OOP,Composition,Inheritance vs Composition,,,,,,,,,,,,
High Yield,OOP,Composition,How will you choose Inheritance or Composition,,,,,,,,,,,,
High Yield,OOP,Composition,Explain benefit of Composition over Inheritance with a use case,• Department class getListOfEmployees where Employee class extended as PermanantEmployees / ContractEmployees also can be accomodated,,,,,,,,,,,
High Yield,OOP,Cohesion,"Definition — What, When, Where, Why & How",,,,,,,,,,,,
High Yield,OOP,Coupling,"Definition — What, When, Where, Why & How",,,,,,,,,,,,
High Yield,OOP,Misc,Constructor vs Method,,,,,,,,,,,,
High Yield,OOP,Misc,Constructor Chaining (this() vs super()),,,,,,,,,,,,
High Yield,OOP,Misc,this vs super,,,,,,,,,,,,
High Yield,OOP,Misc,Functional Interface,,,,,,,,,,,,
High Yield,OOP,Misc,Marker Interface,,,,,,,,,,,,
High Yield,OOP,Misc,Final Class vs Final Method vs Final Variable,,,,,,,,,,,,
High Yield,OOP,Nested Classes,Definition,,,,,,,,,,,,
High Yield,OOP,Nested Classes,"Types — What, When, Where, Why & How",,,,,,,,,,,,
High Yield,OOP,SOLID,Explain with examples,,,,,,,,,,,,
High Yield,OOP,GOF,Definition,,,,,,,,,,,,
High Yield,OOP,GOF,All categories — List down types for each,,,,,,,,,,,,
High Yield,OOP,GOF,"Example implementation for,","• Creational
  ◦ Singleton
  ◦ Factory
  ◦ Builder
• Structural
  ◦ Adapter
  ◦ Facade
  ◦ Proxy
• Behavioural
  ◦ Observer
  ◦ Strategy
  ◦ Template Method (Example — validation using interface & abstract)",,,,,,,,,,,
High Yield,OOP,Scenario Based,"Interface or Abstract Class, which would you choose for a payment system?",,,,,,,,,,,,
High Yield,OOP,Scenario Based,"Inheritance or Composition, which is better and why?",,,,,,,,,,,,
High Yield,OOP,Scenario Based,"How would you design a notification framework supporting Email, SMS, Push, WhatsApp?",,,,,,,,,,,,
High Yield,OOP,Scenario Based,Explain Parent obj = new Child();. Which methods and variables are accessible?,,,,,,,,,,,,
High Yield,OOP,Scenario Based,Explain Dynamic Method Dispatch internally.,,,,,,,,,,,,
High Yield,OOP,Scenario Based,Two interfaces have the same default method. How do you resolve it?,,,,,,,,,,,,
High Yield,OOP,Scenario Based,Why is programming to interfaces considered a best practice?,,,,,,,,,,,,
High Yield,OOP,Scenario Based,Refactor a tightly coupled design into a loosely coupled one.,,,,,,,,,,,,
High Yield,OOP,Scenario Based,Design a plugin architecture using OOP principles.,,,,,,,,,,,,
High Yield,OOP,Scenario Based,A class has 15 constructor parameters. How would you redesign it?,,,,,,,,,,,,
High Yield,OOP,Scenario Based,How would you model a payment gateway using abstraction and polymorphism?,,,,,,,,,,,,
High Yield,OOP,Scenario Based,Explain a real production example where composition helped more than inheritance.,,,,,,,,,,,,
High Yield,CORE JAVA,General,Features of Java,,,,,,,,,,,,
High Yield,CORE JAVA,JVM,JDK architecture,,,,,,,,,,,,
High Yield,CORE JAVA,JVM,How java code is executed,,,,,,,,,,,,
High Yield,CORE JAVA,JVM,JVM Architecture,,,,,,,,,,,,
High Yield,CORE JAVA,JVM,Explain each JVM sections and its components role,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,"Explain JVM memory structure (Heap, Stack, Metaspace)",,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,Heap vs Stack vs Metaspace,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,"Deep dive: Heap Memory (Eden, S0, S1, Tenured)",,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,Explain object life cycle,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,"What are the reference types (Strong, Soft, Weak, Phantom)",,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,What is Garbage collection,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,What is GC Roots & Reachability?,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,What is STW (Stop-The-World)?,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,What is Mark & Sweep & Concurrent Mark & Sweep?,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,"List all GC events, when & why it happens (Minor, Major, Full GC)",,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,"List all GC algorithms, Goal, Characteristics & JVM flags",,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,G1 vs Parallel GC,,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,Why G1 is preferred? (Fragmented GC & Region-based memory),,,,,,,,,,,,
High Yield,CORE JAVA,Garbage Collection & Memory Management,Can we force GC?,,,,,,,,,,,,
