Subject,Topic,Question,Answer
ANGULAR,Angular Core & Fundamentals,"**Angular architecture. Components, Services, Modules, DI container?**",
ANGULAR,Angular Core & Fundamentals,**Module bootstrap process. Root module to app initialization?**,
ANGULAR,Angular Core & Fundamentals,**NgModule vs Standalone components. When each? Migration strategy?**,
ANGULAR,Angular Core & Fundamentals,**Lazy loading modules. Route-based code splitting?**,
ANGULAR,Angular Core & Fundamentals,**Feature modules vs Shared modules. Organization patterns?**,
ANGULAR,Angular Core & Fundamentals,**Barrel exports. Import path simplification?**,
ANGULAR,Angular Core & Fundamentals,**Dependency Injection. Hierarchical injector? Provider scopes?**,
ANGULAR,Angular Core & Fundamentals,**@Injectable() with providedIn. Tree-shaking benefit?**,
ANGULAR,Angular Core & Fundamentals,**InjectionToken for type-safe DI. Real-world use case?**,
ANGULAR,Angular Core & Fundamentals,**Lifecycle hooks: constructor vs ngOnInit vs ngAfterViewInit. Execution order?**,
ANGULAR,Angular Core & Fundamentals,**AfterViewInit for @ViewChild access. Why not in ngOnInit?**,
ANGULAR,Angular Core & Fundamentals,**ngOnDestroy. Memory leak prevention?**,
ANGULAR,Angular Core & Fundamentals,**ChangeDetectionStrategy.OnPush. When use? Performance impact?**,
ANGULAR,Angular Core & Fundamentals,**Change detection cycle. Why manual detectChanges() sometimes needed?**,
ANGULAR,Angular Core & Fundamentals,**ExpressionChangedAfterCheckError. Cause? Debug strategy?**,
ANGULAR,Components & Templates,"**Component decorator. selector, template, templateUrl, styles, styleUrls?**",
ANGULAR,Components & Templates,"**Template binding: interpolation, property binding, event binding, two-way binding?**",
ANGULAR,Components & Templates,"**[property]=""value"" vs {{value}}. DOM property vs Angular binding?**",
ANGULAR,Components & Templates,"**(event)=""handler()"" vs @HostListener. When each?**",
ANGULAR,Components & Templates,**Banana-in-a-box [()]. Two-way binding mechanics?**,
ANGULAR,Components & Templates,**$event object. Native DOM event vs Angular synthetic event?**,
ANGULAR,Components & Templates,**@Input vs @Output. Parent-child communication?**,
ANGULAR,Components & Templates,**@Input setter & getter. Complex input handling?**,
ANGULAR,Components & Templates,**@Output EventEmitter. Emit custom events?**,
ANGULAR,Components & Templates,**@ViewChild vs @ViewChildren. Timing issues?**,
ANGULAR,Components & Templates,**@ContentChild vs @ContentChildren. Projected content access?**,
ANGULAR,Components & Templates,**ng-template. Conditional rendering without DOM?**,
ANGULAR,Components & Templates,**ng-container. Structural directive wrapper?**,
ANGULAR,Components & Templates,**TemplateRef & ViewContainerRef. Dynamic component creation?**,
ANGULAR,Data Binding & Reactivity,**Event emitter memory leak. Subscription cleanup?**,
ANGULAR,Data Binding & Reactivity,**Safe navigation operator (?.). null/undefined handling?**,
ANGULAR,Data Binding & Reactivity,**Async pipe. AutoUnsubscribe? Change detection trigger?**,
ANGULAR,Data Binding & Reactivity,**Trackby in *ngFor. Performance for large lists?**,
ANGULAR,Data Binding & Reactivity,***ngIf vs [hidden]. DOM removal vs CSS display?**,
ANGULAR,Data Binding & Reactivity,***ngSwitch. Multiple conditional rendering?**,
ANGULAR,Data Binding & Reactivity,**String interpolation with filters. {{ value | currency }}.?**,
ANGULAR,Data Binding & Reactivity,**Pipe chaining. Order matters?**,
ANGULAR,Data Binding & Reactivity,**Pure vs Impure pipes. Execution frequency?**,
ANGULAR,Data Binding & Reactivity,**Custom pipe creation. Real-world example?**,
ANGULAR,Data Binding & Reactivity,**ngModel two-way binding. When problematic?**,
ANGULAR,Directives,"**Structural directives: *ngIf, *ngFor, *ngSwitch. Syntax?**",
ANGULAR,Directives,"**Attribute directives. @HostBinding, @HostListener?**",
ANGULAR,Directives,**Custom directive creation. Real use case?**,
ANGULAR,Directives,"**Directive scope. ElementRef, Renderer2?**",
