Subject,Topic,Question,Answer
DBMS & SQL,DBMS Fundamentals,**ACID properties. Explain each. Real-world implication when one fails?**,
DBMS & SQL,DBMS Fundamentals,**Atomicity failures. What breaks? Recovery mechanism?**,
DBMS & SQL,DBMS Fundamentals,**Consistency definition. Constraints enforcement? Application vs database level?**,
DBMS & SQL,DBMS Fundamentals,**Isolation levels: READ_UNCOMMITTED vs READ_COMMITTED vs REPEATABLE_READ vs SERIALIZABLE. Real scenarios?**,
DBMS & SQL,DBMS Fundamentals,**Durability guarantee. Write-ahead logging? fsync cost?**,
DBMS & SQL,DBMS Fundamentals,**CAP theorem. Trade-offs in distributed databases?**,
DBMS & SQL,DBMS Fundamentals,**RDBMS vs NoSQL. When each? Data consistency trade-offs?**,
DBMS & SQL,Database Architecture,**Storage engine. InnoDB vs MyISAM. MySQL default? Differences?**,
DBMS & SQL,Database Architecture,**Buffer pool. Size tuning? Cache hit ratio monitoring?**,
DBMS & SQL,Database Architecture,**Log-structured merge trees vs B-trees. When each?**,
DBMS & SQL,Database Architecture,**Page size & I/O optimization. Default 16KB in MySQL?**,
DBMS & SQL,Database Architecture,**WAL (Write-Ahead Logging). Performance implications?**,
DBMS & SQL,Database Architecture,**Checkpoint mechanism. Recovery time?**,
DBMS & SQL,Database Architecture,**Tablespace management. File organization?**,
DBMS & SQL,Indexes & Query Optimization,**Index types: B-tree vs Hash vs Full-text vs Spatial. When each?**,
DBMS & SQL,Indexes & Query Optimization,**Composite index. Column order matters? Why?**,
DBMS & SQL,Indexes & Query Optimization,**Primary key vs Unique index vs Foreign key. Indexing implications?**,
DBMS & SQL,Indexes & Query Optimization,**Index selectivity. Low selectivity—why avoid indexing?**,
DBMS & SQL,Indexes & Query Optimization,**Covering index. Performance benefit? Trade-off?**,
DBMS & SQL,Indexes & Query Optimization,**Index fragmentation. OPTIMIZE TABLE cost?**,
DBMS & SQL,Indexes & Query Optimization,**Query plan analysis with EXPLAIN. Key fields interpretation?**,
DBMS & SQL,Indexes & Query Optimization,**Query execution plan. Why different for same query?**,
DBMS & SQL,Indexes & Query Optimization,"**Index hints: USE INDEX, FORCE INDEX, IGNORE INDEX. When override optimizer?**",
DBMS & SQL,Indexes & Query Optimization,**Prefix index. Storage vs search trade-off?**,
DBMS & SQL,Indexes & Query Optimization,**Reverse index usage. Like '%string' problem?**,
DBMS & SQL,Indexes & Query Optimization,**Index cardinality. Histogram statistics?**,
DBMS & SQL,Indexes & Query Optimization,**Multi-column index selectivity. Which column first?**,
DBMS & SQL,Query Performance & Optimization,**N+1 query problem. Detection? Prevention?**,
DBMS & SQL,Query Performance & Optimization,**Subquery vs JOIN. Performance difference?**,
DBMS & SQL,Query Performance & Optimization,**INNER JOIN vs LEFT JOIN vs RIGHT JOIN. Query planner cost?**,
DBMS & SQL,Query Performance & Optimization,**Self-join scenarios. Performance implications?**,
DBMS & SQL,Query Performance & Optimization,**UNION vs UNION ALL. When UNION necessary?**,
DBMS & SQL,Query Performance & Optimization,**GROUP BY optimization. Index usage?**,
DBMS & SQL,Query Performance & Optimization,**HAVING vs WHERE. Execution order?**,
DBMS & SQL,Query Performance & Optimization,**LIMIT OFFSET performance degradation. Pagination strategy at scale?**,
DBMS & SQL,Query Performance & Optimization,**Aggregate functions: COUNT(*) vs COUNT(column). Performance?**,
DBMS & SQL,Query Performance & Optimization,**Distinct performance cost?**,
DBMS & SQL,Query Performance & Optimization,**IN vs EXISTS vs JOIN. Query optimizer choice?**,
DBMS & SQL,Query Performance & Optimization,**Correlated subqueries. Performance issue?**,
DBMS & SQL,Query Performance & Optimization,**View materialization. Performance optimization?**,
DBMS & SQL,Transactions & Concurrency,**Transaction isolation implementation. MVCC (Multi-Version Concurrency Control)?**,
DBMS & SQL,Transactions & Concurrency,"**Dirty read, non-repeatable read, phantom read. Isolation level prevents each?**",
DBMS & SQL,Transactions & Concurrency,**Lock types: shared vs exclusive. Deadlock causes?**,
DBMS & SQL,Transactions & Concurrency,**Row-level vs Table-level locking. InnoDB behavior?**,
DBMS & SQL,Transactions & Concurrency,**Deadlock detection & resolution. Victim selection?**,
DBMS & SQL,Transactions & Concurrency,"**Deadlock example: transaction A waits for B, B waits for A. How detect?**",
DBMS & SQL,Transactions & Concurrency,**Lock wait timeout. Configuration?**,
DBMS & SQL,Transactions & Concurrency,**Gap locks & next-key locks. Phantom read prevention?**,
DBMS & SQL,Transactions & Concurrency,**Optimistic vs Pessimistic locking. Row versioning?**,
DBMS & SQL,Transactions & Concurrency,**Transaction log (binlog). Replication?**,
DBMS & SQL,Transactions & Concurrency,**Two-phase commit. Distributed transactions?**,
DBMS & SQL,Transactions & Concurrency,**Savepoints. Partial rollback?**,
DBMS & SQL,Data Modeling & Design,**Normalization: 1NF vs 2NF vs 3NF vs BCNF. Real-world trade-offs?**,
DBMS & SQL,Data Modeling & Design,**Denormalization benefits & costs. When acceptable?**,
DBMS & SQL,Data Modeling & Design,**Entity-relationship diagram. Cardinality representation?**,
DBMS & SQL,Data Modeling & Design,**One-to-one vs One-to-many vs Many-to-many. Schema design?**,
DBMS & SQL,Data Modeling & Design,**Foreign key constraints. Referential integrity?**,
DBMS & SQL,Data Modeling & Design,**Surrogate vs Natural keys. When each?**,
DBMS & SQL,Data Modeling & Design,**Composite primary keys. Advantages & disadvantages?**,
DBMS & SQL,Data Modeling & Design,**Data type selection: INT vs BIGINT vs DECIMAL vs VARCHAR. Storage & performance?**,
DBMS & SQL,Data Modeling & Design,**NULL handling. Storage cost? Index behavior?**,
DBMS & SQL,Data Modeling & Design,**ENUM vs lookup table. Trade-offs?**,
DBMS & SQL,Data Modeling & Design,**JSON columns in MySQL. Indexing? When over relational?**,
DBMS & SQL,Data Modeling & Design,**Schema versioning. Migration strategy?**,
DBMS & SQL,Backup & Recovery,**Full backup vs Incremental vs Differential. Storage vs recovery time?**,
DBMS & SQL,Backup & Recovery,**Point-in-time recovery. Binlog retention?**,
DBMS & SQL,Backup & Recovery,**Physical vs Logical backup. mysqldump vs xtrabackup?**,
DBMS & SQL,Backup & Recovery,**Backup consistency. Locking implications?**,
DBMS & SQL,Backup & Recovery,**Recovery time objective (RTO) vs Recovery point objective (RPO). Trade-offs?**,
DBMS & SQL,Backup & Recovery,**Binary logging. Row-based vs Statement-based vs Mixed. Replication impact?**,
DBMS & SQL,Backup & Recovery,**Crash recovery. InnoDB recovery process?**,
DBMS & SQL,Backup & Recovery,**Backup encryption. Security at rest?**,
DBMS & SQL,Replication & HA,**Master-slave replication. Data flow?**,
DBMS & SQL,Replication & HA,**Master-master replication. Conflict resolution?**,
DBMS & SQL,Replication & HA,**Semi-synchronous replication. Durability guarantee?**,
DBMS & SQL,Replication & HA,**Replication lag. Causes? Monitoring?**,
DBMS & SQL,Replication & HA,**Failover mechanism. Automatic vs Manual?**,
DBMS & SQL,Replication & HA,**Read replicas. Scaling read traffic?**,
DBMS & SQL,Replication & HA,**Replication filters. Row & statement filtering?**,
DBMS & SQL,Replication & HA,**GTID (Global Transaction ID). Replication reliability?**,
DBMS & SQL,Replication & HA,**Parallel replication. Performance gain?**,
DBMS & SQL,Replication & HA,**Replication breakage. Skipping errors?**,
DBMS & SQL,MySQL Specific Concepts,"**InnoDB storage engine architecture. Buffer pool, undo log, redo log?**",
DBMS & SQL,MySQL Specific Concepts,**Clustered index. Primary key as row identifier?**,
DBMS & SQL,MySQL Specific Concepts,**Secondary index. Leaf nodes contain primary key?**,
DBMS & SQL,MySQL Specific Concepts,**Redo log vs Undo log. Purpose?**,
DBMS & SQL,MySQL Specific Concepts,**Doublewrite buffer. Crash safety?**,
DBMS & SQL,MySQL Specific Concepts,**Innodb_flush_log_at_trx_commit. Durability vs performance?**,
DBMS & SQL,MySQL Specific Concepts,**Adaptive hash index. Automatic optimization?**,
DBMS & SQL,MySQL Specific Concepts,**Insert buffer (Change buffer). Performance benefit?**,
DBMS & SQL,MySQL Specific Concepts,**Purge thread. Garbage collection of old versions?**,
DBMS & SQL,MySQL Specific Concepts,**Lock monitor. Deadlock detection?**,
DBMS & SQL,MySQL Specific Concepts,"**MySQL 8.0 features. Window functions, JSON improvements, CTE?**",
DBMS & SQL,MySQL Specific Concepts,**Instant DDL. Online schema changes?**,
DBMS & SQL,Connection & Resource Management,**Connection pooling. min/max size tuning?**,
DBMS & SQL,Connection & Resource Management,**max_connections limit. Planning capacity?**,
DBMS & SQL,Connection & Resource Management,**Connection timeout configuration?**,
DBMS & SQL,Connection & Resource Management,**Idle connection cleanup?**,
DBMS & SQL,Connection & Resource Management,**Thread pool plugin benefits?**,
DBMS & SQL,Connection & Resource Management,**Query timeout. Statement execution time limit?**,
DBMS & SQL,Connection & Resource Management,**max_allowed_packet. Large query/result handling?**,
DBMS & SQL,Administration & Monitoring,**Database monitoring. Key metrics?**,
DBMS & SQL,Administration & Monitoring,**Slow query log. Threshold tuning? Analysis?**,
DBMS & SQL,Administration & Monitoring,**Performance schema. Detailed instrumentation?**,
DBMS & SQL,Administration & Monitoring,**SHOW PROCESSLIST. Active query monitoring?**,
DBMS & SQL,Administration & Monitoring,**SHOW STATUS. Performance counters?**,
DBMS & SQL,Administration & Monitoring,**InnoDB status. Lock & transaction monitoring?**,
DBMS & SQL,Administration & Monitoring,**Disk I/O monitoring. iostat interpretation?**,
DBMS & SQL,Administration & Monitoring,**CPU usage analysis. Query profiling?**,
DBMS & SQL,Administration & Monitoring,"**Memory usage tuning. Buffer pool, query cache?**",
DBMS & SQL,Administration & Monitoring,**Storage space management. Tablespace growth?**,
DBMS & SQL,Administration & Monitoring,**User privilege management. Principle of least privilege?**,
DBMS & SQL,Administration & Monitoring,"**Parameter tuning: innodb_buffer_pool_size, max_connections, query_cache_size?**",
DBMS & SQL,Security,**Authentication. User password policies?**,
DBMS & SQL,Security,**Authorization. Column & row-level security?**,
DBMS & SQL,Security,**SQL injection prevention. Prepared statements?**,
DBMS & SQL,Security,**Data encryption at rest. Encrypted tablespaces?**,
DBMS & SQL,Security,**Encryption in transit. SSL/TLS configuration?**,
DBMS & SQL,Security,**Audit logging. Who accessed what?**,
DBMS & SQL,Security,**Least privilege principle. Role-based access?**,
DBMS & SQL,Security,**Password hashing. Storage mechanism?**,
DBMS & SQL,Advanced SQL,"**Window functions: ROW_NUMBER, RANK, DENSE_RANK, LAG, LEAD. Real use cases?**",
DBMS & SQL,Advanced SQL,**Common table expression (CTE). WITH clause. Recursive CTE?**,
DBMS & SQL,Advanced SQL,**Derived tables vs CTE performance?**,
DBMS & SQL,Advanced SQL,**CASE statements. Complex conditional logic?**,
DBMS & SQL,Advanced SQL,**Stored procedures. When avoid? Performance?**,
DBMS & SQL,Advanced SQL,**Triggers. Use cases & dangers?**,
DBMS & SQL,Advanced SQL,**Views. Updatable views. Materialized view simulation?**,
DBMS & SQL,Advanced SQL,**Cursor. Performance implications?**,
DBMS & SQL,Advanced SQL,**Aggregate window functions. Cumulative sums?**,
DBMS & SQL,JSON Handling,**JSON columns in MySQL 5.7+. Data type?**,
