Subject,Topic,Question,Answer
KAFKA,Kafka Fundamentals & Architecture,"- **Kafka architecture. Brokers, topics, partitions, consumer groups, Zookeeper (deprecated)?**",
KAFKA,Kafka Fundamentals & Architecture,- **KRaft mode. Zookeeper replacement. Benefits?**,
KAFKA,Kafka Fundamentals & Architecture,- **Topic vs Partition. Data distribution? Replication?**,
KAFKA,Kafka Fundamentals & Architecture,- **Leader vs Follower replicas. ISR (In-Sync Replicas)?**,
KAFKA,Kafka Fundamentals & Architecture,- **Replication factor. Availability vs durability vs storage cost?**,
KAFKA,Kafka Fundamentals & Architecture,- **Min in-sync replicas (min.insync.replicas). Durability guarantee?**,
KAFKA,Kafka Fundamentals & Architecture,- **Broker failure handling. Leader election. Data consistency?**,
KAFKA,Kafka Fundamentals & Architecture,- **Partition leadership election. Controller role?**,
KAFKA,Kafka Fundamentals & Architecture,- **Committed offset. Consumer group position tracking?**,
KAFKA,Kafka Fundamentals & Architecture,- **__consumer_offsets topic. Offset storage?**,
KAFKA,Producers,"- **Producer architecture. Batching, compression, partitioning?**",
KAFKA,Producers,- **Partitioner logic. Key-based vs round-robin distribution?**,
KAFKA,Producers,- **Custom partitioner. Real-world use case?**,
KAFKA,Producers,- **acks setting: 0 vs 1 vs all. Durability vs latency?**,
KAFKA,Producers,- **Retries & backoff. Idempotent producer?**,
KAFKA,Producers,- **Idempotent producer. Exactly-once semantics at producer level?**,
KAFKA,Producers,- **Transactional producer. ACID guarantees across partitions?**,
KAFKA,Producers,- **Compression algorithms: snappy vs lz4 vs gzip vs zstd. Trade-offs?**,
KAFKA,Producers,- **Buffer memory management. max.block.ms timeout?**,
KAFKA,Producers,- **Batch size tuning. Throughput vs latency?**,
KAFKA,Producers,- **Linger.ms. Waiting for batching?**,
KAFKA,Producers,- **Send callback handling. Asynchronous vs synchronous?**,
KAFKA,Producers,- **Schema registry integration. Avro serialization?**,
KAFKA,Consumers,"- **Consumer group. Parallel processing, scalability?**",
KAFKA,Consumers,- **Rebalancing. Eager vs cooperative rebalancing?**,
KAFKA,Consumers,- **Group coordinator. Rebalancing orchestration?**,
KAFKA,Consumers,- **Consumer lag. Monitoring metric?**,
KAFKA,Consumers,- **Offset management. auto.offset.reset behavior?**,
KAFKA,Consumers,- **earliest vs latest vs none offset reset. Recovery scenarios?**,
KAFKA,Consumers,- **enable.auto.commit. Manual vs automatic commit?**,
KAFKA,Consumers,- **Commit offset timing. Performance vs consistency?**,
KAFKA,Consumers,- **Seek & reset. Moving consumer offset?**,
KAFKA,Consumers,- **Consumer retention. How long can consumer fall behind?**,
KAFKA,Consumers,- **Pause & resume. Flow control?**,
KAFKA,Consumers,- **Consumer threads. Single-threaded consumer pattern?**,
KAFKA,Consumers,- **Thread safety. Consumer not thread-safe. Scaling pattern?**,
KAFKA,Consumers,"- **Heartbeat mechanism. session.timeout.ms, heartbeat.interval.ms?**",
KAFKA,Consumers,- **Max poll interval. Processing time limit?**,
KAFKA,Consumers,- **Fetch size tuning. Large message handling?**,
KAFKA,Topics & Partitions,- **Partition count. Throughput vs complexity trade-off?**,
KAFKA,Topics & Partitions,- **Changing partition count. Rebalancing impact?**,
KAFKA,Topics & Partitions,- **Partition assignment strategy. Range vs Round-robin vs Sticky vs Cooperative Sticky?**,
KAFKA,Topics & Partitions,- **Sticky assignment. Minimizing partition movement?**,
KAFKA,Topics & Partitions,- **Retention policy: time vs size vs compact. Cleanup policies?**,
KAFKA,Topics & Partitions,- **Log compaction. Snapshot semantics for state topics?**,
KAFKA,Topics & Partitions,- **Segment management. Disk I/O optimization?**,
KAFKA,Topics & Partitions,"- **Message ordering. Guarantees per partition, not topic?**",
KAFKA,Topics & Partitions,- **Exactly-once delivery. Producer + consumer idempotence?**,
KAFKA,Reliability & Durability,- **min.insync.replicas impact. Unclean leader election?**,
KAFKA,Reliability & Durability,- **Acknowledgments for durability. acks=all latency cost?**,
KAFKA,Reliability & Durability,- **Durability vs Latency trade-off. Tuning for use case?**,
KAFKA,Reliability & Durability,- **Message ordering guarantees. Single partition requirement?**,
KAFKA,Reliability & Durability,- **Exactly-once semantics (EOS). Producer idempotence + consumer offset atomicity?**,
KAFKA,Reliability & Durability,- **Transactional reads. Reading uncommitted messages?**,
KAFKA,Reliability & Durability,- **Isolation levels: read_uncommitted vs read_committed?**,
KAFKA,Reliability & Durability,- **Exactly-once in stream processing. Transactions with state stores?**,
KAFKA,Performance & Optimization,"- **Throughput optimization. Batching, compression, partition count?**",
KAFKA,Performance & Optimization,"- **Latency optimization. acks, linger.ms, batch.size trade-offs?**",
KAFKA,Performance & Optimization,"- **Memory usage tuning. buffer.memory, fetch.max.bytes?**",
KAFKA,Performance & Optimization,"- **CPU optimization. Compression algorithms, serialization?**",
KAFKA,Performance & Optimization,"- **Disk I/O optimization. Segment size, flush intervals?**",
KAFKA,Performance & Optimization,"- **Network optimization. Compression, batch size, partition count?**",
