Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,Duplicate,LessImportant,Starred,Order,SubjectOrder,TopicOrder,SubTopicOrder,SrsDue,SrsStreak
Previous Question Bank,Core Java,Keywords & Lifecycle,"final, static - variable, method & class",,false,false,false,false,false,0,3,0,0,,0
Previous Question Bank,Core Java,Keywords & Lifecycle,Final vs Finally vs Finalize,"How finalize work, when it will be called -> Garbage collector its called when object is destroyed for cleanup activity",false,false,false,false,false,1,3,0,0,,0
Previous Question Bank,Core Java,Keywords & Lifecycle,Call by Value and Call by Reference in Java,"- There is only call by value in java, not call by reference.",false,false,false,false,false,4,3,0,0,,0
Previous Question Bank,Core Java,Keywords & Lifecycle,Why no pointers in java,,false,false,false,false,false,5,3,0,0,,0
Previous Question Bank,Core Java,"Object Mechanics, Utilities & Serialization",Comparable vs Comparator,"Comparable ( implements Comparable<T> & add compareTo() method Ex: Sort ) vs comparator ( implements Comparator<T> & compare() method, seperate file like name comparator, age comparator )",false,false,false,false,false,0,3,1,0,,0
Previous Question Bank,Core Java,"Object Mechanics, Utilities & Serialization",Indexof vs contains,,false,false,false,false,false,1,3,1,0,,0
Previous Question Bank,Core Java,"Object Mechanics, Utilities & Serialization",implements Serializable,Classes implement it if they want their instances to be Serialized or Deserialized. Serialization is a mechanism of converting the state of an object into a byte stream,false,false,false,false,false,2,3,1,0,,0
Previous Question Bank,Core Java,"Object Mechanics, Utilities & Serialization",Transient variable,would not be serialized,false,false,false,false,false,3,3,1,0,,0
Previous Question Bank,Core Java,Misc,super class of every class in Java,Class implicitly extends Object,false,false,false,false,false,43,3,5,0,,0
Previous Question Bank,Core Java,Misc,Java Core Best Practices,https://www.codejava.net/coding/10-java-core-best-practices-every-java-programmer-should-know - https://xperti.io/blogs/java-coding-best-practices/,false,false,false,false,false,44,3,5,0,,0
Previous Question Bank,Core Java,Misc,Describe list of Java Keywords & package lists,,false,false,false,false,false,45,3,5,0,,0
Previous Question Bank,Core Java,Misc,x Socket,,false,false,false,true,false,46,3,5,0,,0
Previous Question Bank,Core Java,Misc,x Data type conversion and fundamentals,,false,false,false,true,false,47,3,5,0,,0
Previous Question Bank,Core Java,Misc,"x XML Processing in Java - SAX parser, dom parser & jaxb",,false,false,false,true,false,48,3,5,0,,0
Previous Question Bank,Core Java,Misc,how to create custom singleton class,,false,false,false,false,false,49,3,5,0,,0
Previous Question Bank,Core Java,Misc,constructor chaining,- within a class two args constructor calling single arg constructor & single arg constructor calling default constructor - throws chained exception,false,false,false,false,false,50,3,5,0,,0
Previous Question Bank,Core Java,Misc,Atomic Operations,- to handle increment operator thread safe Ex: AtomicInteger,false,false,false,false,false,51,3,5,0,,0
Previous Question Bank,Core Java,Misc,serialization,- object to bytestream on transfor or store as different format,false,false,false,false,false,52,3,5,0,,0
Previous Question Bank,Core Java,Misc,implements Serializable,- Different between serialisation and deserialisation,false,false,false,false,false,53,3,5,0,,0
