Subject,Topic,Question,Answer
REDIS,Redis Fundamentals & Architecture,- **Redis data structure. In-memory key-value store?**,
REDIS,Redis Fundamentals & Architecture,- **Single-threaded model. Concurrency handling?**,
REDIS,Redis Fundamentals & Architecture,- **Key expiry. TTL & EXPIRE mechanisms?**,
REDIS,Redis Fundamentals & Architecture,- **Database selection. Multiple logical databases?**,
REDIS,Redis Fundamentals & Architecture,- **Connection management. Connections & pipelining?**,
REDIS,Redis Fundamentals & Architecture,- **Memory management. Eviction policies?**,
REDIS,Redis Fundamentals & Architecture,- **Persistence. RDB vs AOF?**,
REDIS,Redis Fundamentals & Architecture,- **Replication. Master-slave architecture?**,
REDIS,Redis Fundamentals & Architecture,- **Clustering. Sharded distributed Redis?**,
REDIS,Redis Fundamentals & Architecture,- **Sentinel. High availability & automatic failover?**,
REDIS,Data Types & Operations,"- **String type. Basic key-value, integers, floats?**",
REDIS,Data Types & Operations,- **Hash type. Object storage with fields?**,
REDIS,Data Types & Operations,"- **List type. Ordered collection, queue/stack operations?**",
REDIS,Data Types & Operations,- **Set type. Unordered unique collection?**,
REDIS,Data Types & Operations,- **Sorted set type. Ordered by score?**,
REDIS,Data Types & Operations,- **Stream type. Time-series message log?**,
REDIS,Data Types & Operations,- **Bitmap operations. Bit-level operations?**,
REDIS,Data Types & Operations,- **HyperLogLog. Cardinality estimation?**,
REDIS,Data Types & Operations,- **Geospatial indexes. Location-based queries?**,
REDIS,Data Types & Operations,- **Type conversion. Converting between types?**,
REDIS,String Operations,"- **SET, GET, GETSET. Basic operations?**",
REDIS,String Operations,"- **MGET, MSET. Bulk operations?**",
REDIS,String Operations,"- **SETEX, PSETEX. Setting with expiry?**",
REDIS,String Operations,"- **INCR, DECR. Atomic increment/decrement?**",
REDIS,String Operations,"- **INCRBY, DECRBY. Increment by value?**",
REDIS,String Operations,- **APPEND. String concatenation?**,
REDIS,String Operations,- **STRLEN. String length?**,
REDIS,String Operations,"- **GETRANGE, SETRANGE. Substring operations?**",
REDIS,String Operations,"- **Bit operations: SETBIT, GETBIT, BITCOUNT, BITOP?**",
REDIS,Hash Operations,"- **HSET, HGET, HDEL. Field operations?**",
REDIS,Hash Operations,"- **HMGET, HMSET. Bulk field operations?**",
REDIS,Hash Operations,- **HGETALL. Fetching entire hash?**,
REDIS,Hash Operations,- **HEXISTS. Field existence check?**,
REDIS,Hash Operations,- **HLEN. Number of fields?**,
REDIS,Hash Operations,"- **HKEYS, HVALS. Getting keys or values?**",
REDIS,Hash Operations,"- **HINCRBY, HINCRBYFLOAT. Incrementing field values?**",
REDIS,Hash Operations,- **HSCAN. Iterating fields?**,
REDIS,List Operations,"- **LPUSH, RPUSH, LPOP, RPOP. Queue operations?**",
REDIS,List Operations,- **LLEN. List length?**,
REDIS,List Operations,- **LRANGE. Fetching range of elements?**,
REDIS,List Operations,- **LINDEX. Accessing by index?**,
REDIS,List Operations,- **LSET. Setting element by index?**,
REDIS,List Operations,- **LTRIM. Trimming list?**,
REDIS,List Operations,"- **BLPOP, BRPOP. Blocking pop operations?**",
REDIS,List Operations,- **BRPOPLPUSH. Atomic pop and push?**,
REDIS,List Operations,- **RPOPLPUSH. Moving element between lists?**,
REDIS,List Operations,- **LINSERT. Inserting before/after element?**,
REDIS,Set Operations,"- **SADD, SREM, SMEMBERS. Basic operations?**",
REDIS,Set Operations,- **SCARD. Set cardinality?**,
REDIS,Set Operations,"- **SISMEMBER, SMISMEMBER. Membership check?**",
REDIS,Set Operations,"- **SINTER, SUNION, SDIFF. Set operations?**",
REDIS,Set Operations,"- **SINTERSTORE, SUNIONSTORE, SDIFFSTORE. Storing results?**",
REDIS,Set Operations,"- **SPOP, SRANDMEMBER. Random element operations?**",
REDIS,Set Operations,- **SMOVE. Moving element between sets?**,
REDIS,Set Operations,- **SSCAN. Iterating set members?**,
REDIS,Sorted Set Operations,"- **ZADD, ZREM. Adding/removing members?**",
REDIS,Sorted Set Operations,- **ZCARD. Cardinality?**,
REDIS,Sorted Set Operations,- **ZCOUNT. Count by score range?**,
REDIS,Sorted Set Operations,"- **ZRANGE, ZREVRANGE. Range queries?**",
REDIS,Sorted Set Operations,"- **ZRANGEBYSCORE, ZREVRANGEBYSCORE. Score range queries?**",
REDIS,Sorted Set Operations,"- **ZRANK, ZREVRANK. Rank of member?**",
REDIS,Sorted Set Operations,- **ZSCORE. Member score?**,
REDIS,Sorted Set Operations,- **ZINCRBY. Incrementing score?**,
REDIS,Sorted Set Operations,"- **ZINTERSTORE, ZUNIONSTORE. Set operations with weights?**",
REDIS,Sorted Set Operations,"- **ZPOPMIN, ZPOPMAX. Removing min/max score members?**",
REDIS,Sorted Set Operations,"- **BZPOPMIN, BZPOPMAX. Blocking pop min/max?**",
REDIS,Sorted Set Operations,- **ZSCAN. Iterating members?**,
REDIS,Stream Operations,- **XADD. Adding message to stream?**,
REDIS,Stream Operations,- **XLEN. Stream length?**,
REDIS,Stream Operations,"- **XRANGE, XREVRANGE. Reading range?**",
REDIS,Stream Operations,- **XREAD. Reading messages sequentially?**,
REDIS,Stream Operations,- **XGROUP CREATE. Consumer group creation?**,
REDIS,Stream Operations,- **XREADGROUP. Reading in consumer group?**,
REDIS,Stream Operations,- **XACK. Message acknowledgment?**,
REDIS,Stream Operations,- **XPENDING. Pending message info?**,
REDIS,Stream Operations,- **XCLAIM. Claiming pending messages?**,
REDIS,Stream Operations,- **XDEL. Deleting message?**,
REDIS,Stream Operations,- **XTRIM. Trimming stream size?**,
REDIS,Key Expiry & TTL,"- **EXPIRE, EXPIREAT. Setting expiry?**",
REDIS,Key Expiry & TTL,"- **PEXPIRE, PEXPIREAT. Millisecond expiry?**",
REDIS,Key Expiry & TTL,"- **TTL, PTTL. Checking remaining TTL?**",
REDIS,Key Expiry & TTL,- **PERSIST. Removing expiry?**,
REDIS,Key Expiry & TTL,- **Expiry accuracy. Millisecond accuracy?**,
REDIS,Key Expiry & TTL,- **Background eviction. Periodic cleanup?**,
REDIS,Key Expiry & TTL,- **Expiry notification. Key space notifications?**,
REDIS,Eviction Policies,"- **noeviction. No eviction, error on memory full?**",
REDIS,Eviction Policies,- **allkeys-lru. LRU eviction on all keys?**,
REDIS,Eviction Policies,- **volatile-lru. LRU eviction on keys with expiry?**,
REDIS,Eviction Policies,- **allkeys-lfu. LFU eviction on all keys?**,
REDIS,Eviction Policies,- **volatile-lfu. LFU eviction on keys with expiry?**,
REDIS,Eviction Policies,- **allkeys-random. Random eviction on all keys?**,
REDIS,Eviction Policies,- **volatile-random. Random eviction on keys with expiry?**,
REDIS,Eviction Policies,- **volatile-ttl. Evicting keys closest to expiry?**,
REDIS,Eviction Policies,- **Memory threshold. maxmemory setting?**,
REDIS,Eviction Policies,- **Eviction sampling. Approximate LRU/LFU?**,
REDIS,Persistence,- **RDB (Snapshot). Point-in-time backup?**,
REDIS,Persistence,"- **SAVE, BGSAVE. Synchronous vs background save?**",
REDIS,Persistence,- **RDB format. Binary format for snapshots?**,
REDIS,Persistence,- **AOF (Append-Only File). Command logging?**,
REDIS,Persistence,- **AOF rewrite. Compacting AOF file?**,
REDIS,Persistence,- **BGREWRITEAOF. Background AOF rewrite?**,
REDIS,Persistence,"- **Fsync policy: always, everysec, no. Durability vs performance?**",
REDIS,Persistence,- **Hybrid persistence. Combining RDB and AOF?**,
REDIS,Persistence,- **Loading persistence. Restoring from RDB/AOF?**,
REDIS,Persistence,- **Backup strategy. Point-in-time recovery?**,
REDIS,Persistence,- **Disaster recovery. RTO & RPO planning?**,
REDIS,Transactions & Scripting,"- **MULTI, EXEC, DISCARD. Transaction block?**",
REDIS,Transactions & Scripting,"- **WATCH, UNWATCH. Optimistic locking?**",
REDIS,Transactions & Scripting,- **Transaction atomicity. All-or-nothing execution?**,
REDIS,Transactions & Scripting,- **Lua scripting. Server-side script execution?**,
REDIS,Transactions & Scripting,"- **EVAL, EVALSHA. Script evaluation?**",
REDIS,Transactions & Scripting,- **Script atomicity. Lua script isolation?**,
REDIS,Transactions & Scripting,- **Script caching. Script hash caching?**,
REDIS,Transactions & Scripting,- **SCRIPT LOAD. Pre-loading scripts?**,
REDIS,Transactions & Scripting,"- **SCRIPT EXISTS, SCRIPT FLUSH. Script management?**",
REDIS,Transactions & Scripting,- **Blocking commands in scripts. Potential deadlock?**,
REDIS,Replication & HA,- **Master-slave replication. One-way data sync?**,
REDIS,Replication & HA,- **Replication offset. Tracking data consistency?**,
REDIS,Replication & HA,- **Partial resync. Recovering from temporary disconnect?**,
REDIS,Replication & HA,- **Full resync. Complete data transfer?**,
REDIS,Replication & HA,- **Replication lag. Master-slave consistency?**,
REDIS,Replication & HA,- **Read replicas. Scaling read operations?**,
REDIS,Replication & HA,- **Write operations. Master only?**,
REDIS,Replication & HA,- **Sentinel. High availability monitoring?**,
REDIS,Replication & HA,- **Sentinel configuration. Monitoring master?**,
REDIS,Replication & HA,- **Failover trigger. Automatic master election?**,
REDIS,Replication & HA,- **Quorum. Number of sentinels for consensus?**,
REDIS,Replication & HA,- **Sentinel notification. Client redirect on failover?**,
REDIS,Clustering,- **Redis Cluster. Distributed key storage?**,
REDIS,Clustering,- **Cluster sharding. Hash slot distribution?**,
REDIS,Clustering,- **Node mapping. Hash slot to node?**,
REDIS,Clustering,- **Cluster nodes. Master and replica nodes?**,
REDIS,Clustering,- **Replica migration. Auto-rebalancing?**,
REDIS,Clustering,- **Cluster topology. Node discovery?**,
REDIS,Clustering,- **Cluster gossip protocol. Communication mechanism?**,
REDIS,Clustering,"- **Redirects: MOVED, ASK. Client navigation?**",
REDIS,Clustering,- **Key distribution. CRC16 hash?**,
REDIS,Clustering,- **Multi-key operations. Crossing slot boundaries?**,
REDIS,Clustering,- **Cluster failover. Automatic replica promotion?**,
REDIS,Clustering,- **Cluster rebalancing. Manual slot migration?**,
REDIS,Clustering,- **Scaling cluster. Adding/removing nodes?**,
REDIS,Performance & Optimization,- **Pipelining. Batching commands?**,
REDIS,Performance & Optimization,- **Batch size optimization. Network efficiency?**,
REDIS,Performance & Optimization,- **Connection pooling. Reusing connections?**,
REDIS,Performance & Optimization,- **Memory optimization. Data structure efficiency?**,
REDIS,Performance & Optimization,- **Memory analysis. MEMORY DOCTOR command?**,
REDIS,Performance & Optimization,- **Key eviction. Cleaning up expired keys?**,
REDIS,Performance & Optimization,- **Slow log. Identifying slow commands?**,
REDIS,Performance & Optimization,- **INFO stats. Performance metrics?**,
REDIS,Performance & Optimization,- **Throughput optimization. Command rate?**,
REDIS,Performance & Optimization,- **Latency monitoring. Latency histogram?**,
REDIS,Performance & Optimization,- **Lazy freeing. Background deletion?**,
REDIS,Performance & Optimization,- **Jemalloc tuning. Memory allocator optimization?**,
REDIS,Caching Patterns,- **Cache-aside pattern. Load on miss?**,
REDIS,Caching Patterns,- **Write-through pattern. Synchronous update?**,
REDIS,Caching Patterns,- **Write-behind pattern. Asynchronous update?**,
REDIS,Caching Patterns,- **Cache-control headers. HTTP caching?**,
REDIS,Caching Patterns,- **Stampede prevention. Avoiding thundering herd?**,
REDIS,Caching Patterns,- **Probabilistic early expiration. Preventing stampede?**,
REDIS,Caching Patterns,- **Cache warming. Pre-loading frequent data?**,
REDIS,Caching Patterns,- **Cache invalidation. Clearing stale data?**,
REDIS,Caching Patterns,- **TTL strategy. Balancing freshness vs load?**,
REDIS,Monitoring & Operations,- **INFO command. Comprehensive stats?**,
REDIS,Monitoring & Operations,- **MONITOR. Monitoring client commands?**,
REDIS,Monitoring & Operations,- **SLOWLOG. Slow command tracking?**,
REDIS,Monitoring & Operations,- **CLIENT LIST. Active clients?**,
REDIS,Monitoring & Operations,- **LATENCY. Latency sampling?**,
REDIS,Monitoring & Operations,- **Memory stats. Memory usage breakdown?**,
REDIS,Monitoring & Operations,- **Key space stats. Database stats?**,
REDIS,Monitoring & Operations,- **Replication stats. Replication metrics?**,
REDIS,Monitoring & Operations,- **Cluster stats. Cluster health?**,
REDIS,Monitoring & Operations,"- **Health checks. PING, health endpoints?**",
REDIS,Monitoring & Operations,- **Metrics export. Prometheus integration?**,
REDIS,Security,- **ACL (Access Control List). User permission model?**,
REDIS,Security,- **User creation. Default user modification?**,
REDIS,Security,"- **User categories: admin, developer, monitoring, default?**",
REDIS,Security,- **Command permissions. ACL SETUSER commands?**,
REDIS,Security,- **Key permissions. ACL patterns for keys?**,
REDIS,Security,- **Authentication. Password + username?**,
REDIS,Security,- **requirepass. Simple password auth?**,
REDIS,Security,- **SSL/TLS. Encrypted connections?**,
REDIS,Security,- **Certificate validation. Client certificates?**,
REDIS,Security,- **Redis ACL categories. Command grouping?**,
REDIS,Security,- **Audit logging. ACL LOG command?**,
