Subject,Topic,Question,Answer
CORE JAVA,General,Features of Java,
CORE JAVA,JVM,JDK architecture,
CORE JAVA,JVM,How java code is executed,
CORE JAVA,JVM,JVM Architecture,
CORE JAVA,JVM,Explain each JVM sections and its components role,
CORE JAVA,Garbage Collection & Memory Management,"Explain JVM memory structure (Heap, Stack, Metaspace)",
CORE JAVA,Garbage Collection & Memory Management,Heap vs Stack vs Metaspace,
CORE JAVA,Garbage Collection & Memory Management,"Deep dive: Heap Memory (Eden, S0, S1, Tenured)",
CORE JAVA,Garbage Collection & Memory Management,Explain object life cycle,
CORE JAVA,Garbage Collection & Memory Management,"What are the reference types (Strong, Soft, Weak, Phantom)",
CORE JAVA,Garbage Collection & Memory Management,What is Garbage collection,
CORE JAVA,Garbage Collection & Memory Management,What is GC Roots & Reachability?,
CORE JAVA,Garbage Collection & Memory Management,What is STW (Stop-The-World)?,
CORE JAVA,Garbage Collection & Memory Management,What is Mark & Sweep & Concurrent Mark & Sweep?,
CORE JAVA,Garbage Collection & Memory Management,"List all GC events, when & why it happens (Minor, Major, Full GC)",
CORE JAVA,Garbage Collection & Memory Management,"List all GC algorithms, Goal, Characteristics & JVM flags",
CORE JAVA,Garbage Collection & Memory Management,G1 vs Parallel GC,
CORE JAVA,Garbage Collection & Memory Management,Why G1 is preferred? (Fragmented GC & Region-based memory),
CORE JAVA,Garbage Collection & Memory Management,What is memory leaks & when does it occur,
CORE JAVA,Garbage Collection & Memory Management,What is OutOfMemoryError & when does it occur,
CORE JAVA,Garbage Collection & Memory Management,Heap Dump vs Thread Dump,
CORE JAVA,Garbage Collection & Memory Management,"Have you used any JVM dump / monitoring tools? (JVisualVM, JConsole, Eclipse MAT, JMC)",
CORE JAVA,Garbage Collection & Memory Management,"How will you troubleshoot OutOfMemoryError in production (Heap Dump, Thread Dump, GC Logs, Tools)",
CORE JAVA,Garbage Collection & Memory Management,Have you done JVM tuning in real time?,
CORE JAVA,Error & Exception,Exception vs Error vs Throwable,
CORE JAVA,Error & Exception,Checked vs Unchecked Exception,
CORE JAVA,Error & Exception,try_catch_finally flow,
CORE JAVA,Error & Exception,Multi-catch (Handling multiple types),
CORE JAVA,Error & Exception,Order of exception hierarchy and catch order,
CORE JAVA,Error & Exception,Return in try vs finally,
CORE JAVA,Error & Exception,Exception propagation (Delegating to caller),
CORE JAVA,Error & Exception,Chained exceptions,
CORE JAVA,Error & Exception,Suppressed exceptions,
CORE JAVA,Error & Exception,Try-with-resources,
CORE JAVA,Error & Exception,Custom exceptions (Exception vs RuntimeException),
