Subject,Topic,Question,Answer
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,"- **Elasticsearch architecture. Nodes, shards, replicas, clusters?**",
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **Shard. Primary vs Replica shards. Data distribution?**,
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,"- **Node roles: master, data, ingest. Responsibilities?**",
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **Master-eligible nodes. Quorum & split-brain prevention?**,
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **Minimum master nodes. Quorum formula?**,
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **Dedicated master nodes. Cluster stability?**,
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **Data nodes. Storage & computation?**,
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **Ingest nodes. Pipeline processing before indexing?**,
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **Coordinating nodes. Request routing?**,
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **Index lifecycle. Hot → Warm → Cold tiers?**,
ELASTICSEARCH,Elasticsearch Fundamentals & Architecture,- **ILM (Index Lifecycle Management). Automation?**,
ELASTICSEARCH,Indexing & Documents,- **Index. Collection of documents with similar structure?**,
ELASTICSEARCH,Indexing & Documents,- **Document. JSON object with unique ID?**,
ELASTICSEARCH,Indexing & Documents,- **Mapping. Field type definitions and analyzers?**,
ELASTICSEARCH,Indexing & Documents,- **Dynamic mapping. Auto-detection vs explicit mapping?**,
ELASTICSEARCH,Indexing & Documents,"- **Field types: text, keyword, numeric, date, geo, nested, object?**",
ELASTICSEARCH,Indexing & Documents,"- **Analyzer. Tokenization, lowercasing, stemming?**",
ELASTICSEARCH,Indexing & Documents,"- **Analyzer components: Tokenizer, TokenFilter, CharFilter?**",
ELASTICSEARCH,Indexing & Documents,- **Custom analyzer. Real-world use case?**,
ELASTICSEARCH,Indexing & Documents,- **Keyword vs Text field. When each?**,
ELASTICSEARCH,Indexing & Documents,- **Nested vs Object type. Querying relationships?**,
ELASTICSEARCH,Indexing & Documents,- **Source field. Disabling _source for storage optimization?**,
ELASTICSEARCH,Indexing & Documents,"- **doc_values. Aggregations, sorting, filtering optimization?**",
ELASTICSEARCH,Indexing & Documents,- **Inverted index. Full-text search mechanism?**,
ELASTICSEARCH,Indexing & Documents,- **Term dictionary. Index structure?**,
ELASTICSEARCH,Indexing & Documents,- **Posting list. Document IDs with term occurrences?**,
ELASTICSEARCH,Mapping & Field Types,- **Explicit mapping. Pre-defining index structure?**,
ELASTICSEARCH,Mapping & Field Types,- **Templates. Index naming patterns with shared mapping?**,
ELASTICSEARCH,Mapping & Field Types,- **Component template. Reusable mapping fragments?**,
ELASTICSEARCH,Mapping & Field Types,- **Composable templates. Multi-level template composition?**,
ELASTICSEARCH,Mapping & Field Types,- **Field aliases. Query transparency?**,
ELASTICSEARCH,Mapping & Field Types,- **Copy-to. Combining fields for search?**,
ELASTICSEARCH,Mapping & Field Types,- **Normalizer. Keyword field analysis?**,
ELASTICSEARCH,Mapping & Field Types,- **Similarity. Scoring algorithm (BM25)?**,
ELASTICSEARCH,Mapping & Field Types,- **Boost. Field-level relevance tuning?**,
ELASTICSEARCH,Mapping & Field Types,"- **Index option. Storing term frequencies, positions?**",
ELASTICSEARCH,Query DSL & Search,- **Query vs Filter context. Scoring vs boolean logic?**,
ELASTICSEARCH,Query DSL & Search,- **Match query. Full-text search with tokenization?**,
ELASTICSEARCH,Query DSL & Search,- **Match phrase. Proximity matching with position awareness?**,
ELASTICSEARCH,Query DSL & Search,- **Match phrase prefix. Type-ahead search?**,
ELASTICSEARCH,Query DSL & Search,- **Term query. Exact keyword matching?**,
ELASTICSEARCH,Query DSL & Search,"- **Wildcard, prefix, regex queries. Pattern matching?**",
ELASTICSEARCH,Query DSL & Search,"- **Range query. Numeric, date ranges?**",
ELASTICSEARCH,Query DSL & Search,"- **Bool query. AND, OR, NOT logic with combination?**",
ELASTICSEARCH,Query DSL & Search,"- **Must, should, filter clauses. Scoring impact?**",
ELASTICSEARCH,Query DSL & Search,- **Minimum should match. Partial matching requirement?**,
ELASTICSEARCH,Query DSL & Search,- **Constant score. Avoiding scoring for performance?**,
ELASTICSEARCH,Query DSL & Search,- **Dis-max query. Multi-field search with field weighting?**,
ELASTICSEARCH,Query DSL & Search,- **Multi-match query. Searching across multiple fields?**,
ELASTICSEARCH,Query DSL & Search,- **Cross-field search. Combining field values?**,
ELASTICSEARCH,Query DSL & Search,- **Boosting query. Demoting documents conditionally?**,
ELASTICSEARCH,Query DSL & Search,- **Pinned query. Guaranteed result positioning?**,
ELASTICSEARCH,Query DSL & Search,"- **Fuzzy query. Typo tolerance, Levenshtein distance?**",
ELASTICSEARCH,Query DSL & Search,"- **Exists, missing filters. Null value handling?**",
ELASTICSEARCH,Query DSL & Search,"- **Geo queries: geo-distance, geo-bounding-box. Location search?**",
ELASTICSEARCH,Query DSL & Search,"- **Aggregations: terms, date-histogram, stats, percentiles?**",
ELASTICSEARCH,Query DSL & Search,- **Nested queries. Querying nested documents?**,
ELASTICSEARCH,Query DSL & Search,- **Inner hits. Returning nested matching documents?**,
ELASTICSEARCH,Query DSL & Search,- **Explain API. Query scoring breakdown?**,
ELASTICSEARCH,Relevance & Scoring,- **BM25. TF-IDF relevance algorithm?**,
ELASTICSEARCH,Relevance & Scoring,"- **Scoring. Field length normalization, term frequency?**",
ELASTICSEARCH,Relevance & Scoring,- **Boost. Query-time vs index-time boosting?**,
ELASTICSEARCH,Relevance & Scoring,- **Function score query. Custom scoring logic?**,
ELASTICSEARCH,Relevance & Scoring,- **Script scoring. Lucene expression scoring?**,
ELASTICSEARCH,Relevance & Scoring,- **Field boosting. Multi-field search weighting?**,
ELASTICSEARCH,Relevance & Scoring,- **Phrase boost. Penalizing non-phrases?**,
ELASTICSEARCH,Relevance & Scoring,- **Decay functions. Distance-based score decay?**,
ELASTICSEARCH,Relevance & Scoring,- **Rescore query. Two-phase ranking for performance?**,
ELASTICSEARCH,Aggregations,"- **Bucket aggregations: terms, date-histogram, histogram, range?**",
ELASTICSEARCH,Aggregations,"- **Metrics aggregations: avg, sum, min, max, percentiles, cardinality?**",
ELASTICSEARCH,Aggregations,- **Sub-aggregations. Nested bucket aggregations?**,
