Subject,Topic,Question,Answer
GRAPHQL,GraphQL Fundamentals & Architecture,- **GraphQL vs REST. Advantages & trade-offs?**,
GRAPHQL,GraphQL Fundamentals & Architecture,- **Schema-driven API. Type system benefits?**,
GRAPHQL,GraphQL Fundamentals & Architecture,- **Query language. Declarative data fetching?**,
GRAPHQL,GraphQL Fundamentals & Architecture,- **Strongly typed schema. Type validation?**,
GRAPHQL,GraphQL Fundamentals & Architecture,- **Introspection. Self-documenting API?**,
GRAPHQL,GraphQL Fundamentals & Architecture,"- **GraphQL server architecture. Resolver, datasource layers?**",
GRAPHQL,GraphQL Fundamentals & Architecture,- **Single endpoint vs multiple. Complexity management?**,
GRAPHQL,GraphQL Fundamentals & Architecture,"- **HTTP protocol. POST requests, query submission?**",
GRAPHQL,Schema Design,"- **Type definition. Object types, fields, scalar types?**",
GRAPHQL,Schema Design,"- **Scalar types: Int, String, Boolean, Float, ID, custom scalars?**",
GRAPHQL,Schema Design,- **Object types. Nested type relationships?**,
GRAPHQL,Schema Design,- **Input types. Mutation argument structure?**,
GRAPHQL,Schema Design,- **Interface type. Shared field structure?**,
GRAPHQL,Schema Design,- **Union type. Multiple possible return types?**,
GRAPHQL,Schema Design,- **Enum type. Restricted value set?**,
GRAPHQL,Schema Design,- **Directive. Schema & query-time customization?**,
GRAPHQL,Schema Design,- **Null vs Non-null types (!). Type safety?**,
GRAPHQL,Schema Design,- **List types. Array field handling?**,
GRAPHQL,Schema Design,- **Schema documentation. Field descriptions?**,
GRAPHQL,Schema Design,- **Schema stitching. Combining multiple schemas?**,
GRAPHQL,Schema Design,- **Apollo Federation. Distributed schema management?**,
GRAPHQL,Schema Design,- **Schema composition. Merging subgraph schemas?**,
GRAPHQL,Queries & Mutations,- **Query. Read-only data fetching?**,
GRAPHQL,Queries & Mutations,- **Field selection. Client-specified response structure?**,
GRAPHQL,Queries & Mutations,- **Nested field queries. Traversing object graphs?**,
GRAPHQL,Queries & Mutations,- **Aliases. Renaming fields in response?**,
GRAPHQL,Queries & Mutations,- **Fragments. Reusable field selections?**,
GRAPHQL,Queries & Mutations,- **Named fragments. Sharing across queries?**,
GRAPHQL,Queries & Mutations,- **Inline fragments. Conditional field selection on unions/interfaces?**,
GRAPHQL,Queries & Mutations,- **Variables. Parameterized query templates?**,
GRAPHQL,Queries & Mutations,- **Query operation. Multiple queries in single request?**,
GRAPHQL,Queries & Mutations,- **Mutation. Data modification operation?**,
GRAPHQL,Queries & Mutations,- **Mutation ordering. Sequential execution?**,
GRAPHQL,Queries & Mutations,- **Mutation response. Returning modified data?**,
GRAPHQL,Queries & Mutations,- **Multiple mutations. Atomic execution?**,
GRAPHQL,Resolvers & Data Loading,- **Resolver function. Field computation logic?**,
GRAPHQL,Resolvers & Data Loading,"- **Resolver arguments. args, context, info parameters?**",
GRAPHQL,Resolvers & Data Loading,- **Root resolver. Top-level query/mutation entry?**,
GRAPHQL,Resolvers & Data Loading,- **Nested resolver. Querying related data?**,
GRAPHQL,Resolvers & Data Loading,- **Default resolver. Auto-resolution from parent object?**,
GRAPHQL,Resolvers & Data Loading,- **N+1 query problem in GraphQL. Batch loading?**,
GRAPHQL,Resolvers & Data Loading,- **DataLoader. Batching & caching in resolvers?**,
GRAPHQL,Resolvers & Data Loading,- **Batching strategy. Reducing database queries?**,
GRAPHQL,Resolvers & Data Loading,- **Caching strategy. In-memory vs distributed?**,
GRAPHQL,Resolvers & Data Loading,- **Lazy resolution. Only fetching requested fields?**,
GRAPHQL,Resolvers & Data Loading,- **Directive resolver. Custom directive logic?**,
GRAPHQL,Performance & Optimization,- **Query cost analysis. Preventing expensive queries?**,
GRAPHQL,Performance & Optimization,- **Query depth limiting. Preventing deeply nested queries?**,
GRAPHQL,Performance & Optimization,- **Query complexity calculation. Custom scoring?**,
GRAPHQL,Performance & Optimization,- **Rate limiting. Throttling client requests?**,
GRAPHQL,Performance & Optimization,- **Timeout configuration. Long-running query prevention?**,
GRAPHQL,Performance & Optimization,- **Batch size limits. Array field limitations?**,
GRAPHQL,Performance & Optimization,- **Fragment caching. Client-side caching?**,
GRAPHQL,Performance & Optimization,- **APQ (Automatic Persisted Queries). Query string optimization?**,
GRAPHQL,Performance & Optimization,- **Persistent queries. Pre-approved queries only?**,
GRAPHQL,Performance & Optimization,- **Network optimization. Selecting minimal fields?**,
GRAPHQL,Performance & Optimization,- **Compression. Gzip response compression?**,
GRAPHQL,Performance & Optimization,- **Pagination. Cursor vs offset-based?**,
GRAPHQL,Performance & Optimization,- **Relay cursor pagination. Standard pagination pattern?**,
GRAPHQL,Performance & Optimization,- **Offset-based pagination. Limitations at scale?**,
GRAPHQL,Subscriptions & Real-Time,- **Subscription. Server push to client?**,
GRAPHQL,Subscriptions & Real-Time,- **WebSocket protocol. Persistent connection?**,
GRAPHQL,Subscriptions & Real-Time,- **Subscription resolver. Event streaming?**,
GRAPHQL,Subscriptions & Real-Time,- **PubSub mechanism. Event publishing & subscribing?**,
GRAPHQL,Subscriptions & Real-Time,"- **Message queue integration. Kafka, RabbitMQ backed pubsub?**",
GRAPHQL,Subscriptions & Real-Time,- **Filtering subscriptions. Server-side filtering?**,
GRAPHQL,Subscriptions & Real-Time,- **Unsubscribe. Cleanup on client disconnect?**,
